103,0
210,5
320,3
429,1
538,1
648,2
758,3
866,2
974,2
1084,1
1194,3
1304,2
1414,2
1522,3
1631,4
1738,2
1848,3
1957,1
2066,3
2175,3
2284,2
2392,4
2501,2
2610,2
2711,1
2812,1
2912,1
3015,2
3126,2
3237,3
3346,2
3456,1
3567,2
3676,3
3783,2
3892,2
4000,3
4109,2
4220,3
4330,2
4439,4
4549,2
4658,1
4767,2
4876,3
4985,3
5094,3
5202,2
5313,2
5425,2
5536,2
5645,2
5754,2
5861,2
5970,2
6080,3
6188,1
6297,1
6405,3
6505,2
6607,2
6715,2
6824,2
6933,1
7034,0
7135,2
7235,1
7349,1
7458,2
7567,2
7676,1
7784,2
7894,2
8002,2
8110,3
8218,4
8326,2
8434,2
8543,3
8651,1
8761,3
8870,4
8978,3
9087,3
9195,2
9306,2
9416,1
9524,3
9633,4
9741,1
9849,1
9957,3
10065,4
10174,4
10282,4
10392,2
10501,1
10610,1
10718,4
10826,3
10937,1
11048,1
11158,1
11266,2
11375,2
11485,1
11594,1
11703,2
11810,1
11918,1
12027,2
12135,3
12244,3
12354,3
12465,2
12566,2
12667,1
12777,3
12888,2
12998,1
13107,2
13217,5
13326,3
13435,3
13544,4
13652,2
13761,4
13870,3
13978,1
14085,4
14196,3
14305,2
14414,2
14523,3
14632,3
14739,2
14849,2
14957,2
15066,1
15175,2
15283,1
15391,2
15502,1
15613,2
15722,2
15832,2
15941,2
16050,1
16158,1
16266,2
16375,3
16484,4
16592,4
16701,4
16808,1
16917,1
17025,1
17134,1
17243,2
17352,3
17460,4
17569,1
17677,2
17786,3
17896,3
18004,3
18114,3
18224,3
18333,3
18443,3
18552,3
18661,2
18770,3
18879,2
18990,3
19098,2
19207,2
19315,4
19423,2
19531,1
19640,1
19748,2
19858,2
19966,2
20074,2
20182,3
20290,2
20391,1
20494,2
20604,2
20712,2
20822,2
20930,2
21039,2
21147,2
21255,1
21364,2
21473,1
21585,1
21695,3
21802,5
21910,2
22020,2
22128,2
22236,3
22344,2
22454,2
22562,1
22672,2
22780,2
22889,2
23000,3
23108,3
23218,2
23328,4
23437,2
23546,2
23657,3
23769,3
23879,1
23988,2
24098,2
24210,2
24319,2
24429,3
24538,1
24649,2
24759,1
24868,3
24979,1
25089,1
25199,2
25308,3
25419,0
25528,1
25637,1
25746,0
25854,3
25963,1
26070,4
26178,3
26286,4
26395,4
26502,2
26611,4
26719,2
26828,3
26937,3
27045,2
27152,2
27263,4
27372,3
27483,4
27592,4
27702,2
27812,1
27920,1
28028,4
28136,4
28245,2
28357,2
28467,2
28576,1
28686,1
28795,3
28902,3
29012,4
29112,1
29227,1
29336,2
29436,0
29537,1
29652,3
29762,2
29871,4
29981,2
30089,2
30198,2
30308,2
30418,1
30528,2
30640,1
30749,1
30860,2
30969,2
31080,2
31191,4
31302,3
31411,1
31519,1
31627,2
31737,3
31848,2
31957,3
32068,4
32179,3
32289,3
32399,4
32510,4
32619,3
32728,2
32837,2
32947,3
33058,3
33166,2
33275,3
33382,3
33492,3
33602,4
33713,3
33821,1
33930,2
34041,3
34150,4
34259,3
34369,2
34480,3
34588,1
34697,2
34806,2
34913,1
35022,3
35130,2
35239,2
35347,2
35456,5
35556,2
35657,2
35768,2
35877,3
35986,3
36096,2
36204,3
36314,2
36424,5
36532,3
36632,1
36733,2
36843,4
36951,3
37058,3
37167,3
37268,1
37369,1
37479,1
37588,2
37698,1
37806,1
37914,1
38022,2
38129,2
38238,2
38338,1
38438,2
38546,1
38655,2
38764,2
38873,4
38983,2
39092,3
39192,1
39293,2
39401,2
39511,1
39620,2
39728,2
39837,1
39945,2
40054,4
40163,3
40271,2
40371,1
40474,2
40585,1
40696,2
40803,2
40912,2
41019,4
41129,3
41238,2
41347,1
41457,2
41564,2
41674,1
41783,4
41892,2
42000,2
42100,0
42202,1
42311,1
42412,0
42512,1
42621,1
42730,2
42837,1
42947,1
43056,3
43164,2
43273,2
43382,2
43490,1
43599,1
43699,1
43800,3
43907,3
44016,4
44125,3
44232,2
44340,2
44447,3
44556,5
44665,3
44773,3
44881,1
44991,2
45100,2
45208,2
45316,2
